sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,context_CONVERSATION,context_OTHER,context_VIEW_BOOTH,context_WALKING
50,473327,286.3333333333333,-175.0,4197.0,2176980.0,84.0,,,,,,,WALKING,17727420.777777776,0,0,0,1
50,1821801,130.0,-122.5,4144.0,2165208.0,75.0,,,,,,,WALKING,17204642.25,0,0,0,1
50,2232741,413.0,1153.0,4133.0,2231087.0,0.0,,,,,,,VIEW_BOOTH,18581667.0,0,0,1,0
50,3535243,168.5,1307.5,3982.5,2228723.5,0.0,,,,,,,VIEW_BOOTH,17598254.75,0,0,1,0
50,4439381,44.0,1563.0,3741.5,2163470.0,0.0,,,,,,,VIEW_BOOTH,16443727.25,0,0,1,0
50,6175286,157.0,1751.5,3666.5,2227908.5,0.0,,,,,,,WALKING,16535623.5,0,0,0,1
50,7434355,-441.0,-1595.5,3756.0,2355454.0,0.0,,,,,,,WALKING,16847637.25,0,0,0,1
50,8237425,762.0,1252.5,3904.5,2215549.0,0.0,,,,,,,WALKING,17394520.5,0,0,0,1
51,427858,88.5,1317.5,3922.5,2133354.5,90.0,,,,,,,WALKING,17129644.75,0,0,0,1
51,1667069,-351.0,1112.0,3981.0,2070960.0,82.0,,,,,,,OTHER,17208106.0,0,1,0,0
51,2272945,255.0,730.5,3998.5,2154853.5,84.0,,,,,,,OTHER,16586657.5,0,1,0,0
51,3491098,-847.5,986.0,3912.5,2110315.5,76.0,,,,,,,OTHER,16998108.5,0,1,0,0
51,4740135,-571.5,776.0,4061.5,2279389.0,0.0,,,,,,,CONVERSATION,17424570.5,1,0,0,0
51,6920070,-468.5,1239.0,3873.5,2101673.5,85.0,,,,,,,CONVERSATION,16758615.5,1,0,0,0
51,8155828,-692.5,712.0,4013.5,2222833.0,89.0,,,,,,,VIEW_BOOTH,17094682.5,0,0,1,0
51,8917474,-394.5,591.0,4185.0,2193314.0,87.0,,,,,,,CONVERSATION,18019136.25,1,0,0,0
53,439176,-357.0,-539.0,4122.5,2061344.5,0.0,,,,,,,WALKING,17412976.25,0,0,0,1
53,1701295,1497.5,-490.0,3911.0,2080869.5,76.0,,,,,,,CONVERSATION,17778527.25,1,0,0,0
53,2248330,-486.0,93.5,4084.0,2270346.0,0.0,,,,,,,OTHER,16923994.25,0,1,0,0
53,3482733,-571.0,91.0,4133.5,2150945.5,0.0,,,,,,,OTHER,17420144.25,0,1,0,0
53,4197449,665.0,484.0,4048.0,2247147.5,70.0,,,,,,,CONVERSATION,17062785.0,1,0,0,0
53,5448412,-251.0,51.0,4160.0,2268963.5,0.0,,,,,,,CONVERSATION,17371202.0,1,0,0,0
53,6702015,-575.0,612.5,4133.5,2400238.5,0.0,,,,,,,CONVERSATION,17791603.5,1,0,0,0
53,7266689,487.0,-155.5,3983.0,2332041.0,0.0,,,,,,,CONVERSATION,16125638.25,1,0,0,0
54,438171,-393.0,-277.0,4146.0,2253230.0,0.0,,,,,,,CONVERSATION,17420494.0,1,0,0,0
54,1200383,-5.5,-879.0,4078.5,2150406.5,72.0,,,,,,,CONVERSATION,17406833.5,1,0,0,0
54,3272231,-332.0,-979.0,3967.0,2116060.0,76.0,,,,,,,CONVERSATION,16805754.0,1,0,0,0
54,3642191,239.5,-1629.5,3789.5,2144965.5,83.0,,,,,,,CONVERSATION,17072940.75,1,0,0,0
54,4907013,-319.5,-885.0,3999.5,1858187.0,80.0,,,,,,,VIEW_BOOTH,16881305.5,0,0,1,0
54,7521914,-69.0,521.0,4052.5,2354678.0,87.0,,,,,,,OTHER,16698958.25,0,1,0,0
55,569297,324.0,343.5,4104.0,2373812.5,0.0,,,,,,,VIEW_BOOTH,17065784.25,0,0,1,0
55,994709,583.5,1795.5,3581.0,2292117.0,80.0,,,,,,,CONVERSATION,16387853.5,1,0,0,0
55,1806678,-102.0,2090.5,3644.0,2188524.0,87.0,,,,,,,CONVERSATION,17659330.25,1,0,0,0
55,2201057,-29.0,1747.0,3740.5,2056478.0,94.0,,,,,,,CONVERSATION,17044190.25,1,0,0,0
55,3480266,286.0,1275.5,3940.0,2185421.5,0.0,,,,,,,OTHER,17232296.25,0,1,0,0
55,5474403,-23.0,1947.0,3720.0,2053884.5,93.0,,,,,,,CONVERSATION,17629738.0,1,0,0,0
55,6144612,312.5,-538.0,4333.5,2107351.0,0.0,,,,,,,CONVERSATION,19166322.5,1,0,0,0
56,2230043,144.5,548.0,4034.0,1888285.5,0.0,,,,,,,WALKING,16594340.25,0,0,0,1
56,3423645,-96.0,850.6666666666666,3963.3333333333335,1857641.3333333333,0.0,,,,,,,CONVERSATION,16440860.88888889,1,0,0,0
57,430651,75.5,1216.5,3922.0,2098263.0,0.0,,,,,,,WALKING,16867656.5,0,0,0,1
57,2483633,-421.5,1082.5,3956.5,2087061.0,75.0,,,,,,,CONVERSATION,17003360.75,1,0,0,0
57,3902504,626.0,-254.0,4024.5,2233634.5,82.0,,,,,,,VIEW_BOOTH,16652992.25,0,0,1,0
57,4391650,100.0,1462.0,3794.0,2190954.0,84.0,,,,,,,CONVERSATION,16541880.0,1,0,0,0
57,5821945,-636.0,-345.0,4199.0,2236337.5,93.0,,,,,,,CONVERSATION,18155122.0,1,0,0,0
57,8422698,571.5,-550.5,4011.0,2249571.5,0.0,,,,,,,WALKING,16717783.5,0,0,0,1
58,473866,19.0,901.5,4155.5,1888442.0,0.0,,,,,,,CONVERSATION,18081243.5,1,0,0,0
58,1875706,282.5,487.0,4198.0,2163624.5,92.0,,,,,,,WALKING,17940179.25,0,0,0,1
58,2602657,58.5,1420.5,4024.0,2069130.0,99.0,,,,,,,CONVERSATION,18213818.5,1,0,0,0
58,6209246,284.0,286.5,4087.5,2145266.0,0.0,,,,,,,VIEW_BOOTH,16870394.5,0,0,1,0
