sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,affect_ANGRY,affect_HAPPY,affect_RELAXED,affect_SAD
54,3262782,-94.66666666666667,-827.0,4071.6666666666665,2099750.3333333335,75.0,,,,,,HAPPY,,17271360.22222222,0,1,0,0
54,3631674,540.3333333333334,-1327.3333333333333,3884.0,2101551.3333333335,79.0,,,,,,HAPPY,,17139229.888888888,0,1,0,0
54,4894696,-523.5,-710.5,4017.5,1872861.0,68.0,,,,,,HAPPY,,16919168.75,0,1,0,0
54,7514846,-121.5,602.0,4071.5,2349138.5,0.0,,,,,,RELAXED,,16954278.5,0,0,1,0
55,545376,138.0,804.0,4067.0,2372381.0,87.0,,,,,,HAPPY,,17205949.0,0,1,0,0
55,985536,357.5,1267.5,4053.0,2275622.0,0.0,,,,,,HAPPY,,18161171.5,0,1,0,0
55,1792200,-73.0,2091.0,3647.5,2170680.0,0.0,,,,,,RELAXED,,17681866.25,0,0,1,0
55,2195878,77.5,1575.0,3804.5,2095114.0,92.0,,,,,,HAPPY,,16960851.5,0,1,0,0
55,3473155,162.0,1279.0,3937.0,2195566.5,103.0,,,,,,HAPPY,,17162054.0,0,1,0,0
55,5469312,-45.0,2023.0,3592.0,2080334.0,0.0,,,,,,HAPPY,,16997018.0,0,1,0,0
55,6133456,-476.0,600.0,4065.5,2181156.0,96.0,,,,,,HAPPY,,17114866.25,0,1,0,0
56,2218267,-337.5,677.0,3857.5,1897455.5,0.0,,,,,,RELAXED,,15452541.5,0,0,1,0
56,3417919,8.0,582.5,4100.5,1857649.5,0.0,,,,,,HAPPY,,17153470.5,0,1,0,0
57,417330,45.0,912.5,4004.5,2110424.5,0.0,,,,,,HAPPY,,16870701.5,0,1,0,0
57,2476072,-354.5,1343.0,3919.0,2073999.0,76.0,,,,,,HAPPY,,17287880.25,0,1,0,0
57,3885720,667.0,-203.5,3988.0,2240021.0,0.0,,,,,,RELAXED,,16390445.25,0,0,1,0
57,4383336,82.0,1347.0,3882.0,2171728.5,0.0,,,,,,HAPPY,,16891057.0,0,1,0,0
57,5814668,296.0,-169.0,4043.5,2259612.0,0.0,,,,,,HAPPY,,16466069.25,0,1,0,0
57,8416513,501.0,-613.5,3975.0,2261098.5,0.0,,,,,,HAPPY,,16428008.25,0,1,0,0
58,461869,1172.5,739.0,3904.5,1870093.0,78.0,,,,,,HAPPY,,17165997.5,0,1,0,0
58,1037803,565.5,1299.0,3892.5,2212812.5,82.0,,,,,,HAPPY,,17158747.5,0,1,0,0
58,1865465,-95.0,1053.0,3951.0,2165301.0,0.0,,,,,,SAD,,16728235.0,0,0,0,1
58,2595091,-119.5,1460.0,3915.5,2068918.0,98.0,,,,,,HAPPY,,17477020.5,0,1,0,0
58,4610020,1320.5,-3309.5,1724.0,2111591.5,0.0,,,,,,HAPPY,,15668686.5,0,1,0,0
58,6185055,505.5,624.0,4170.0,2128461.0,0.0,,,,,,HAPPY,,18033806.25,0,1,0,0
